id_dep,name,party,UF,twitter_account
404,Deputado Pedro Lucas Fernandes,PTB,MA,depPedroLucasF
405,Deputado Pedro Lupion,DEM,PR,pedro_lupion
406,Deputado Pedro Paulo,DEM,RJ,pedropaulo
407,Deputado Pedro Uczai,PT,SC,uczai
408,Deputado Pedro Vilela,PSDB,AL,no-twitter
409,Deputado Pedro Westphalen,PP,RS,pedrowestphalen
410,Deputada Perpétua Almeida,PCdoB,AC,perpetua_acre
411,Deputado Pinheirinho,PP,MG,pinheirinhomg
412,Deputada Policial Katia Sastre,PL,SP,KatiaSastre
413,Deputado Pompeo De Mattos,PDT,RS,PompeodeMattos
414,Deputado Pr. Marco Feliciano,REPUBLICANOS,SP,marcofeliciano
415,Deputada Professora Dayane Pimentel,PSL,BA,deppimentel
416,Deputada Professora Dorinha Seabra Rezende,DEM,TO,profdorinha
417,Deputado Professor Alcides,PP,GO,profalcids
418,Deputada Professora Marcivania,PCdoB,AP,profmarcivania
419,Deputada Professora Rosa Neide,PT,MT,prof_rosaneide
420,Deputado Professor Israel Batista,PV,DF,ProfIsrael
421,Deputado Professor Joziel,PSL,RJ,professorjoziel
422,Deputado Rafael Motta,PSB,RN,RafaelMottaRN
423,Deputado Raimundo Costa,PL,BA,raimundocostaba
424,Deputado Raul Henry,MDB,PE,RaulHenry
425,Deputado Reginaldo Lopes,PT,MG,ReginaldoLopes
426,Deputado Reinhold Stephanes Junior,PSD,PR,StephanesJr
427,Deputada Rejane Dias,PT,PI,rejane_dias
428,Deputada Renata Abreu,PODE,SP,no-twitter
429,Deputado Renildo Calheiros,PCdoB,PE,renildo
430,Deputado Ricardo Barros,PP,PR,RicardoBarrosPP
431,Deputado Ricardo Da Karol,PSC,RJ,no-twitter
432,Deputado Ricardo Guidi,PSD,SC,ricardozguidi
433,Deputado Ricardo Izar,PP,SP,RicardoIzar
434,Deputado Ricardo Silva,PSB,SP,RicardoSilvaRP
435,Deputado Ricardo Teobaldo,PODE,PE,PSDBricardo45
436,Deputado Robério Monteiro,PDT,CE,no-twitter
437,Deputado Roberto Alves,REPUBLICANOS,SP,RobertoAlves_10
438,Deputado Roberto De Lucena,PODE,SP,robertodelucena
439,Deputado Rodrigo Agostinho,PSB,SP,rodrigoagost
440,Deputado Rodrigo Coelho,PSB,SC,coelho_rodrigo
441,Deputado Rodrigo De Castro,PSDB,MG,RodrigoCastro45
442,Deputado Rodrigo Maia,DEM,RJ,RodrigoMaia
443,Deputado Rogério Correia,PT,MG,RogerioCorreia_
444,Deputado Rogério Peninha Mendonça,MDB,SC,no-twitter
445,Deputado Roman,PATRIOTA,PR,no-twitter
446,Deputado Ronaldo Carletto,PP,BA,ronaldocarletto
